#velocity    Tmb
#km/s         K
    35.576     0.586
    35.499     0.648
    35.421     0.768
    35.343     0.883
    35.266     0.946
    35.188     0.948
    35.110     0.914
    35.032     0.888
    34.955     0.895
    34.877     0.947
    34.799     1.020
    34.722     1.061
    34.644     1.059
    34.566     1.058
    34.488     1.101
    34.411     1.141
    34.333     1.103
    34.255     1.032
    34.178     1.021
    34.100     1.073
    34.022     1.145
    33.945     1.182
    33.867     1.168
    33.789     1.157
    33.711     1.189
    33.634     1.218
    33.556     1.182
    33.478     1.131
    33.401     1.149
    33.323     1.200
    33.245     1.223
    33.167     1.242
    33.090     1.287
    33.012     1.338
    32.960     1.386
    32.882     1.435
    32.805     1.461
    32.727     1.461
    32.649     1.496
    32.572     1.581
    32.494     1.657
    32.416     1.692
    32.338     1.698
    32.261     1.717
    32.183     1.776
    32.105     1.837
    32.028     1.870
    31.950     1.882
    31.872     1.867
    31.795     1.821
    31.717     1.770
    31.639     1.733
    31.561     1.682
    31.484     1.588
    31.406     1.470
    31.328     1.365
    31.251     1.268
    31.173     1.164
    31.095     1.058
    31.017     0.958
    30.940     0.849
    30.862     0.715
    30.784     0.587
    30.707     0.505
    30.629     0.459
    30.551     0.399
    30.473     0.304
    30.396     0.225
    30.318     0.190
    30.240     0.172
    30.163     0.147
    30.085     0.112
    30.007     0.079
    29.929     0.049
    29.852     0.011
    29.774    -0.036
    29.696    -0.070
    29.619    -0.071
    29.541    -0.055
    29.463    -0.043
    29.386    -0.027
    29.308    -0.011
    29.230    -0.007
    29.152    -0.009
    29.075    -0.027
    29.023    -0.067
    28.945    -0.091
    28.867    -0.063
    28.790    -0.013
    28.712     0.011
    28.634     0.004
    28.557    -0.030
    28.479    -0.085
    28.401    -0.115
    28.323    -0.107
    28.246    -0.082
    28.168    -0.047
    28.090    -0.018
    28.013    -0.007
    27.935    -0.018
    27.857    -0.055
    27.779    -0.075
    27.702    -0.051
    27.624    -0.025
    27.546    -0.031
    27.469    -0.049
    27.391    -0.057
    27.313    -0.051
    27.236    -0.043
    27.158    -0.047
    27.080    -0.065
    27.002    -0.090
    26.925    -0.112
    26.847    -0.109
    26.769    -0.068
    26.692    -0.042
    26.614    -0.072
    26.536    -0.114
    26.458    -0.122
    26.381    -0.102
    26.303    -0.066
    26.225    -0.031
    26.148    -0.036
    26.070    -0.085
    25.992    -0.118
    25.914    -0.097
    25.837    -0.058
    25.759    -0.042
    25.681    -0.041
    25.604    -0.037
    25.526    -0.020
    25.448     0.007
    25.370     0.024
    25.293     0.028
    25.215     0.018
    25.163    -0.027
    25.086    -0.077
    25.008    -0.076
    24.930    -0.035
    24.852    -0.006
    24.775     0.001
    24.697     0.014
    24.619     0.025
    24.542     0.002
    24.464    -0.055
    24.386    -0.107
    24.308    -0.097
    24.231    -0.035
    24.153    -0.008
    24.075    -0.035
    23.998    -0.043
    23.920    -0.014
    23.842     0.009
    23.764     0.004
    23.687    -0.002
    23.609    -0.013
    23.531    -0.059
    23.454    -0.101
    23.376    -0.103
    23.298    -0.092
    23.220    -0.082
    23.143    -0.045
    23.065     0.003
    22.987     0.011
    22.910    -0.025
    22.832    -0.064
    22.754    -0.084
    22.677    -0.074
    22.599    -0.035
    22.521    -0.007
    22.443    -0.030
    22.366    -0.083
    22.288    -0.115
    22.210    -0.113
    22.133    -0.097
    22.055    -0.081
    21.977    -0.082
    21.899    -0.114
    21.822    -0.153
    21.744    -0.158
    21.666    -0.109
    21.589    -0.038
    21.511     0.003
    21.433     0.012
    21.355     0.017
    21.278     0.011
    21.226    -0.032
    21.148    -0.074
    21.071    -0.059
    20.993    -0.023
    20.915    -0.030
    20.837    -0.052
    20.760    -0.040
    20.682    -0.032
    20.604    -0.043
    20.527    -0.040
    20.449    -0.036
    20.371    -0.041
    20.293    -0.036
    20.216    -0.017
    20.138     0.004
    20.060    -0.012
    19.983    -0.057
    19.905    -0.052
    19.827     0.007
    19.749     0.046
    19.672     0.039
    19.594     0.012
    19.516    -0.013
    19.439    -0.021
    19.361     0.035
    19.283     0.146
    19.205     0.198
    19.128     0.158
    19.050     0.096
    18.972     0.055
    18.895     0.041
    18.817     0.074
    18.739     0.129
    18.661     0.137
    18.584     0.102
    18.506     0.073
    18.428     0.068
    18.351     0.073
    18.273     0.071
    18.195     0.074
    18.118     0.092
    18.040     0.090
    17.962     0.061
    17.884     0.056
    17.807     0.086
    17.729     0.113
    17.651     0.126
    17.574     0.130
    17.496     0.117
    17.418     0.110
    17.340     0.123
    17.289     0.117
    17.211     0.085
    17.133     0.074
    17.055     0.082
    16.978     0.077
    16.900     0.083
    16.822     0.111
    16.745     0.123
    16.667     0.129
    16.589     0.158
    16.512     0.178
    16.434     0.173
    16.356     0.185
    16.278     0.223
    16.201     0.234
    16.123     0.203
    16.045     0.161
    15.968     0.132
    15.890     0.120
    15.812     0.149
    15.734     0.212
    15.657     0.233
    15.579     0.193
    15.501     0.160
    15.424     0.158
    15.346     0.158
    15.268     0.154
    15.190     0.146
    15.113     0.141
    15.035     0.136
    14.957     0.116
    14.880     0.096
    14.802     0.091
    14.724     0.081
    14.646     0.052
    14.569     0.013
    14.491    -0.043
    14.413    -0.105
    14.336    -0.123
    14.258    -0.080
    14.180    -0.030
    14.102    -0.011
    14.025    -0.007
    13.947    -0.012
    13.869    -0.030
    13.792    -0.040
    13.714    -0.040
    13.636    -0.029
    13.559    -0.008
    13.481    -0.001
    13.429    -0.024
    13.351    -0.051
    13.274    -0.052
    13.196    -0.039
    13.118    -0.044
    13.040    -0.061
    12.963    -0.059
    12.885    -0.042
    12.807    -0.059
    12.730    -0.101
    12.652    -0.096
    12.574    -0.038
    12.496     0.024
    12.419     0.043
    12.341     0.001
    12.263    -0.048
    12.186    -0.049
    12.108    -0.014
    12.030     0.014
    11.953    -0.008
    11.875    -0.066
    11.797    -0.082
    11.719    -0.031
    11.642     0.026
    11.564     0.036
    11.486     0.012
    11.409    -0.017
    11.331    -0.053
    11.253    -0.080
    11.175    -0.058
    11.098    -0.011
    11.020     0.002
    10.942    -0.014
    10.865    -0.013
    10.787    -0.005
    10.709    -0.039
    10.631    -0.083
    10.554    -0.061
    10.476    -0.008
    10.398    -0.009
    10.321    -0.026
    10.243    -0.005
    10.165    -0.000
    10.087    -0.045
    10.010    -0.067
     9.932    -0.017
     9.854     0.050
     9.777     0.086
     9.699     0.082
     9.621     0.046
     9.543     0.018
     9.492     0.010
     9.414     0.014
     9.336     0.051
     9.259     0.098
     9.181     0.116
     9.103     0.110
     9.025     0.081
     8.948     0.047
     8.870     0.051
     8.792     0.091
     8.715     0.132
     8.637     0.148
     8.559     0.120
     8.481     0.063
     8.404     0.010
     8.326     0.001
     8.248     0.057
     8.171     0.125
     8.093     0.147
     8.015     0.146
     7.937     0.142
     7.860     0.127
     7.782     0.118
     7.704     0.132
     7.627     0.140
     7.549     0.105
     7.471     0.058
     7.393     0.044
     7.316     0.056
     7.238     0.099
     7.160     0.167
     7.083     0.180
     7.005     0.117
     6.927     0.089
     6.850     0.136
     6.772     0.171
     6.694     0.167
     6.616     0.159
     6.539     0.141
     6.461     0.121
     6.383     0.137
     6.306     0.170
     6.228     0.191
     6.150     0.219
     6.072     0.260
     5.995     0.268
     5.917     0.231
     5.839     0.209
     5.762     0.215
     5.684     0.189
     5.632     0.143
     5.554     0.142
     5.477     0.173
     5.399     0.169
     5.321     0.124
     5.244     0.100
     5.166     0.119
     5.088     0.144
     5.010     0.140
     4.933     0.113
     4.855     0.069
     4.777     0.023
     4.700     0.022
     4.622     0.066
     4.544     0.102
     4.466     0.101
     4.389     0.087
     4.311     0.066
     4.233     0.031
     4.156     0.005
     4.078    -0.003
     4.000    -0.028
     3.922    -0.085
     3.845    -0.128
     3.767    -0.114
     3.689    -0.078
     3.612    -0.063
     3.534    -0.059
     3.456    -0.050
     3.378    -0.029
     3.301    -0.011
     3.223     0.006
     3.145     0.025
     3.068     0.004
     2.990    -0.051
     2.912    -0.065
     2.834    -0.053
     2.757    -0.074
     2.679    -0.098
     2.601    -0.087
     2.524    -0.072
     2.446    -0.058
     2.368    -0.030
     2.291    -0.016
     2.213    -0.046
     2.135    -0.089
     2.057    -0.082
     1.980    -0.020
     1.902     0.032
     1.824     0.030
     1.747    -0.006
     1.695    -0.046
     1.617    -0.076
     1.539    -0.069
     1.462    -0.033
     1.384    -0.030
     1.306    -0.065
     1.228    -0.075
     1.151    -0.060
     1.073    -0.075
     0.995    -0.109
     0.918    -0.103
     0.840    -0.050
     0.762    -0.006
     0.685    -0.017
     0.607    -0.052
     0.529    -0.062
     0.451    -0.057
     0.374    -0.066
     0.296    -0.085
     0.218    -0.085
     0.141    -0.061
     0.063    -0.046
    -0.015    -0.040
    -0.093    -0.018
    -0.170     0.010
    -0.248     0.008
    -0.326    -0.025
    -0.403    -0.053
    -0.481    -0.057
    -0.559    -0.038
    -0.637     0.000
    -0.714     0.017
    -0.792    -0.007
    -0.870    -0.028
    -0.947    -0.027
    -1.025    -0.037
    -1.103    -0.068
    -1.181    -0.093
    -1.258    -0.077
    -1.336    -0.028
    -1.414    -0.009
    -1.491    -0.021
    -1.569    -0.003
    -1.647     0.023
    -1.725     0.012
    -1.802    -0.019
    -1.880    -0.033
    -1.958    -0.025
    -2.035    -0.014
    -2.113    -0.010
    -2.165    -0.016
    -2.243    -0.028
    -2.320    -0.028
    -2.398    -0.026
    -2.476    -0.049
    -2.553    -0.071
    -2.631    -0.065
    -2.709    -0.052
    -2.787    -0.053
    -2.864    -0.058
    -2.942    -0.075
    -3.020    -0.113
    -3.097    -0.135
    -3.175    -0.120
    -3.253    -0.106
    -3.331    -0.114
    -3.408    -0.115
    -3.486    -0.097
    -3.564    -0.071
    -3.641    -0.045
    -3.719    -0.025
    -3.797    -0.022
    -3.874    -0.023
    -3.952    -0.001
    -4.030     0.022
    -4.108     0.008
    -4.185    -0.023
    -4.263    -0.049
    -4.341    -0.068
    -4.418    -0.055
    -4.496     0.004
    -4.574     0.065
    -4.652     0.085
    -4.729     0.065
    -4.807     0.023
    -4.885    -0.013
    -4.962    -0.019
    -5.040    -0.015
    -5.118    -0.017
    -5.196     0.001
    -5.273     0.045
    -5.351     0.062
    -5.429     0.017
    -5.506    -0.043
    -5.584    -0.054
    -5.662    -0.022
    -5.740     0.007
    -5.817     0.018
    -5.895     0.018
    -5.973     0.023
    -6.050     0.009
    -6.102    -0.037
    -6.180    -0.052
    -6.258    -0.005
    -6.335     0.030
    -6.413    -0.002
    -6.491    -0.052
    -6.568    -0.059
    -6.646    -0.033
    -6.724    -0.017
    -6.802    -0.013
    -6.879    -0.007
    -6.957    -0.001
    -7.035    -0.015
    -7.112    -0.054
    -7.190    -0.068
    -7.268    -0.027
    -7.346     0.020
    -7.423     0.030
    -7.501     0.019
    -7.579    -0.003
    -7.656    -0.025
    -7.734    -0.018
    -7.812    -0.021
    -7.890    -0.086
    -7.967    -0.149
    -8.045    -0.131
    -8.123    -0.068
    -8.200    -0.013
    -8.278     0.013
    -8.356     0.003
    -8.433    -0.014
    -8.511    -0.010
    -8.589    -0.002
    -8.667    -0.002
    -8.744    -0.000
    -8.822    -0.008
    -8.900    -0.041
    -8.977    -0.075
    -9.055    -0.072
    -9.133    -0.045
    -9.211    -0.020
    -9.288     0.016
    -9.366     0.050
    -9.444     0.050
    -9.521     0.025
    -9.599    -0.004
    -9.677    -0.019
    -9.755    -0.008
    -9.832     0.013
    -9.910     0.024
    -9.988     0.027
   -10.040     0.009
   -10.117    -0.035
   -10.195    -0.068
   -10.273    -0.079
   -10.350    -0.089
   -10.428    -0.097
   -10.506    -0.085
   -10.583    -0.043
   -10.661     0.003
   -10.739     0.018
   -10.817    -0.008
   -10.894    -0.048
   -10.972    -0.060
   -11.050    -0.054
   -11.127    -0.042
   -11.205    -0.008
   -11.283     0.009
   -11.361    -0.033
   -11.438    -0.074
